Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,204.350006,207.139999,203.979996,206.919998,110080400,206.919998
2016-03-31,205.910004,206.410004,205.330002,205.520004,87315600,205.520004
2016-03-30,206.300003,206.869995,205.589996,206.020004,82354400,206.020004
2016-03-29,202.759995,205.25,202.399994,205.119995,90418600,205.119995
2016-03-28,203.610001,203.860001,202.710007,203.240005,62408200,203.240005
2016-03-24,202.00,203.160004,201.740005,203.119995,84360900,203.119995
2016-03-23,204.110001,204.330002,203.009995,203.210007,81052500,203.210007
2016-03-22,203.759995,205.229996,203.570007,204.559998,97471900,204.559998
2016-03-21,204.070007,204.940002,203.800003,204.669998,72926700,204.669998
2016-03-18,204.169998,204.779999,203.800003,204.380005,138372400,204.380005
2016-03-17,203.240005,205.229996,202.770004,204.630005,134278500,203.58001
2016-03-16,201.600006,203.820007,201.550003,203.339996,129303200,202.296621
2016-03-15,201.360001,202.529999,201.050003,202.169998,93169100,201.132626
2016-03-14,202.160004,203.039993,201.770004,202.50,73612000,201.460935
2016-03-11,201.259995,202.809998,199.520004,202.759995,137964500,201.719595
2016-03-10,199.960007,201.070007,197.380005,199.539993,156838700,198.516117
2016-03-09,199.360001,199.789993,198.429993,199.380005,94801200,198.356949
2016-03-08,199.320007,199.919998,198.210007,198.399994,123974900,197.381967
2016-03-07,199.339996,201.070007,199.25,200.589996,100219000,199.560732
2016-03-04,200.009995,201.350006,199.029999,200.429993,129293600,199.401549
2016-03-03,198.789993,199.800003,198.110001,199.779999,95172200,198.754891
2016-03-02,197.740005,199.059998,197.25,199.00,102415000,197.978894
2016-03-01,195.009995,198.210007,194.449997,198.110001,141799700,197.093462
2016-02-29,195.110001,196.229996,193.330002,193.559998,125918100,192.566805
2016-02-26,196.570007,196.679993,194.899994,195.089996,129833700,194.088953
2016-02-25,193.729996,195.550003,192.830002,195.539993,110728300,194.536641
2016-02-24,190.630005,193.529999,189.320007,193.199997,150812200,192.208652
2016-02-23,194.00,194.320007,192.179993,192.320007,111455300,191.333178
2016-02-22,193.869995,194.949997,193.789993,194.779999,103640300,193.780547
2016-02-19,191.169998,192.179993,190.449997,192.00,114793000,191.014812
2016-02-18,193.199997,193.270004,191.720001,192.089996,102343000,191.104347
2016-02-17,191.160004,193.320007,191.009995,192.880005,136009500,191.890302
2016-02-16,188.770004,189.809998,187.630005,189.779999,120250700,188.806202
2016-02-12,184.960007,186.649994,183.960007,186.630005,127632400,185.672372
2016-02-11,182.339996,184.100006,181.089996,182.860001,219058900,181.921712
2016-02-10,186.410004,188.339996,185.119995,185.270004,148214100,184.31935
2016-02-09,183.360001,186.940002,183.199997,185.429993,184513100,184.478517
2016-02-08,185.770004,186.119995,182.800003,185.419998,191526700,184.468574
2016-02-05,190.990005,191.669998,187.199997,187.949997,180788300,186.985591
2016-02-04,190.710007,192.75,189.960007,191.600006,139531800,190.616871
2016-02-03,191.410004,191.779999,187.100006,191.300003,205054900,190.318407
2016-02-02,191.960007,191.970001,189.539993,190.160004,182564900,189.184257
2016-02-01,192.529999,194.580002,191.839996,193.649994,136061600,192.65634
2016-01-29,190.020004,193.880005,189.880005,193.720001,210529300,192.725988
2016-01-28,189.960007,190.199997,187.160004,189.110001,143798800,188.139642
2016-01-27,189.580002,191.559998,187.059998,188.130005,185681700,187.164675
2016-01-26,188.419998,190.529999,188.020004,190.199997,141036800,189.224046
2016-01-25,189.919998,190.149994,187.410004,187.639999,130371700,186.677184
2016-01-22,189.779999,190.759995,188.880005,190.520004,168319600,189.542411
2016-01-21,186.210007,188.869995,184.639999,186.690002,195772900,185.732061
2016-01-20,185.029999,187.50,181.020004,185.649994,286547800,184.697389
2016-01-19,189.960007,190.110001,186.199997,188.059998,195244400,187.095027
2016-01-15,186.770004,188.759995,185.520004,187.809998,324846400,186.84631
2016-01-14,189.550003,193.259995,187.660004,191.929993,240795600,190.945164
2016-01-13,194.449997,194.860001,188.380005,188.830002,221168900,187.86108
2016-01-12,193.820007,194.550003,191.139999,193.660004,172330500,192.666298
2016-01-11,193.009995,193.410004,189.820007,192.110001,187941300,191.124249
2016-01-08,195.190002,195.850006,191.580002,191.919998,209817200,190.935221
2016-01-07,195.330002,197.440002,193.589996,194.050003,213436100,193.054297
2016-01-06,198.339996,200.059998,197.600006,198.820007,152112600,197.799825
2016-01-05,201.399994,201.899994,200.050003,201.360001,110845800,200.326785
2016-01-04,200.490005,201.029999,198.589996,201.020004,222353500,199.988533
